ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	NUMBER	CHINESE
Wang-2006-200-38	1277	HAND	hand	38	手
Wang-2006-200-39	1256	HEAD	head	39	头
Wang-2006-200-40	1408	HEAR	hear	40	听
Wang-2006-200-41	1223	HEART	heart	41	心
Wang-2006-200-42	1393	HORN (KERATINIZED SKIN)	horn	42	角（牛角）
Wang-2006-200-43	2272	WARM OR HOT	hot	43	热
Wang-2006-200-44	1209	I	i	44	我
Wang-2006-200-45	1417	KILL	kill	45	杀
Wang-2006-200-46	1371	KNEE	knee	46	膝
Wang-2006-200-47	1410	KNOW (SOMETHING)	know	47	知道
Wang-2006-200-48	628	LEAF	leaf	48	叶子
Wang-2006-200-49	1411	LIE (REST)	lie	49	躺
Wang-2006-200-50	1224	LIVER	liver	50	肝
Wang-2006-200-51	1203	LONG	long	51	长
Wang-2006-200-52	1392	LOUSE	louse	52	虱子
Wang-2006-200-53	1554	MAN	man	53	男人
Wang-2006-200-54	1198	MANY	many	54	多
Wang-2006-200-55	1313	MOON	moon	55	月亮
Wang-2006-200-56	639	MOUNTAIN	mountain	56	山
Wang-2006-200-57	674	MOUTH	mouth	57	嘴
Wang-2006-200-58	1405	NAME	name	58	名字
Wang-2006-200-59	1333	NECK	neck	59	脖子
Wang-2006-200-60	1231	NEW	new	60	新
Wang-2006-200-61	1233	NIGHT	night	61	夜里
Wang-2006-200-62	1221	NOSE	nose	62	鼻子
Wang-2006-200-63	1240	NOT	not	63	不
Wang-2006-200-64	1493	ONE	one	64	一
Wang-2006-200-65	667	ROAD	path	65	路
Wang-2006-200-66	683	PERSON	person	66	人
Wang-2006-200-67	658	RAIN (PRECIPATION)	rain	67	雨
Wang-2006-200-68	156	RED	red	68	红
Wang-2006-200-69	670	ROOT	root	69	根儿
Wang-2006-200-70	1395	ROUND	round	70	圆
Wang-2006-200-71	671	SAND	sand	71	沙子
Wang-2006-200-72	1458	SAY	say	72	说
Wang-2006-200-73	1409	SEE	see	73	看
Wang-2006-200-74	714	SEED	seed	74	种子
Wang-2006-200-75	1416	SIT	sit	75	坐
Wang-2006-200-76	763	SKIN	skin	76	皮肤
Wang-2006-200-77	1585	SLEEP	sleep	77	睡觉
Wang-2006-200-78	1246	SMALL	small	78	小
Wang-2006-200-79	778	SMOKE (EXHAUST)	smoke	79	烟
Wang-2006-200-80	1442	STAND	stand	80	站
Wang-2006-200-81	1430	STAR	star	81	星
Wang-2006-200-82	857	STONE	stone	82	石头
Wang-2006-200-83	1343	SUN	sun	83	太阳
Wang-2006-200-84	1439	SWIM	swim	84	游泳
Wang-2006-200-85	1220	TAIL	tail	85	尾巴
Wang-2006-200-86	78	THAT	that	86	那个
Wang-2006-200-87	1214	THIS	this	87	这个
Wang-2006-200-88	1205	TONGUE	tongue	88	舌头
Wang-2006-200-89	1380	TOOTH	tooth	89	牙齿
Wang-2006-200-90	906	TREE	tree	90	树
Wang-2006-200-91	1498	TWO	two	91	二
Wang-2006-200-92	1443	WALK	walk	92	走
Wang-2006-200-93	948	WATER	water	93	水
Wang-2006-200-94	1212	WE	we	94	我们
Wang-2006-200-95	1236	WHAT	what	95	什么
Wang-2006-200-96	1335	WHITE	white	96	白
Wang-2006-200-97	1235	WHO	who	97	谁
Wang-2006-200-98	962	WOMAN	woman	98	女人
Wang-2006-200-99	1424	YELLOW	yellow	99	黄
Wang-2006-200-100	1215	THOU	you	100	你、您
Wang-2006-200-101	1577	AND	and	101	和（他和你都是学生）
Wang-2006-200-102	619	ANIMAL	animal	102	动物
Wang-2006-200-103	1291	BACK	back	103	背（脊背）
Wang-2006-200-104	1292	BAD	bad	104	坏
Wang-2006-200-105	1157	BECAUSE	because	105	因为
Wang-2006-200-106	175	BLOW (OF WIND)	blow	106	吹
Wang-2006-200-107	1407	BREATHE	breathe	107	吸
Wang-2006-200-108	1304	CHILD (YOUNG HUMAN)	child	108	小孩子
Wang-2006-200-109	1420	COUNT	count	109	数
Wang-2006-200-110	1432	CUT	cut	110	砍
Wang-2006-200-111	1225	DAY (NOT NIGHT)	day	111	日子
Wang-2006-200-112	1418	DIG	dig	112	挖
Wang-2006-200-113	1230	DIRTY	dirty	113	脏
Wang-2006-200-114	1518	STUPID	dull	114	笨（不聪明）
Wang-2006-200-115	2	DUST	dust	115	灰尘
Wang-2006-200-116	1280	FALL	fall	116	掉（掉下来）
Wang-2006-200-117	1406	FAR	far	117	远
Wang-2006-200-118	1217	FATHER	father	118	父亲
Wang-2006-200-119	1419	FEAR (BE AFRAID)	fear	119	怕
Wang-2006-200-120	1242	FEW	few	120	少
Wang-2006-200-121	1423	FIGHT	fight	121	打架
Wang-2006-200-122	493	FIVE	five	122	五
Wang-2006-200-123	1574	FLOAT	float	123	漂浮
Wang-2006-200-124	2003	FLOW	flow	124	流
Wang-2006-200-125	239	FLOWER	flower	125	花儿
Wang-2006-200-126	249	FOG	fog	126	雾
Wang-2006-200-127	1500	FOUR	four	127	四
Wang-2006-200-128	1431	FREEZE	freeze	128	结冰
Wang-2006-200-129	1507	FRUIT	fruit	129	水果
Wang-2006-200-130	606	GRASS	grass	130	草
Wang-2006-200-131	1334	GUTS	guts	131	肠子
Wang-2006-200-132	1211	HE	he	132	他
Wang-2006-200-133	136	HERE	here	133	这里
Wang-2006-200-134	1433	HIT	hit	134	打
Wang-2006-200-135	2104	HOLD OR TAKE	hold-take	135	拿
Wang-2006-200-136	1239	HOW	how	136	怎么
Wang-2006-200-137	1435	HUNT	hunt	137	打猎
Wang-2006-200-138	1200	HUSBAND	husband	138	丈夫
Wang-2006-200-139	617	ICE	ice	139	冰
Wang-2006-200-140	1459	IF	if	140	如果
Wang-2006-200-141	1460	IN	in	141	在
Wang-2006-200-142	624	LAKE	lake	142	湖
Wang-2006-200-143	1355	LAUGH	laugh	143	笑
Wang-2006-200-144	244	LEFT	leftside	144	左边
Wang-2006-200-145	1297	LEG	leg	145	腿
Wang-2006-200-146	1422	BE ALIVE	live(alive)	146	活
Wang-2006-200-147	1216	MOTHER	mother	147	母亲
Wang-2006-200-148	1267	NARROW	narrow	148	窄
Wang-2006-200-149	1942	NEAR	near	149	近
Wang-2006-200-150	1229	OLD	old	150	老（不年轻）
Wang-2006-200-151	1413	PLAY	play	151	玩儿
Wang-2006-200-152	1455	PULL	pull	152	拉（拉车）
Wang-2006-200-153	1452	PUSH	push	153	推
Wang-2006-200-154	1019	RIGHT	rightside	154	右边
Wang-2006-200-155	1725	CORRECT, RIGHT	correct	155	对
Wang-2006-200-156	666	RIVER	river	156	江
Wang-2006-200-157	1218	ROPE	rope	157	绳子
Wang-2006-200-158	1728	ROTTEN	rotten	158	腐烂
Wang-2006-200-159	1449	RUB	rub	159	擦
Wang-2006-200-160	1274	SALT	salt	160	盐
Wang-2006-200-161	1436	SCRATCH	scratch	161	抓
Wang-2006-200-162	1474	SEA	sea	162	海
Wang-2006-200-163	1457	SEW	sew	163	缝
Wang-2006-200-164	1396	SHARP	sharp	164	尖
Wang-2006-200-165	1645	SHORT	short	165	短
Wang-2006-200-166	1261	SING	sing	166	唱
Wang-2006-200-167	1732	SKY	sky	167	天
Wang-2006-200-168	1586	SMELL (PERCEIVE)	smell	168	闻
Wang-2006-200-169	1234	SMOOTH	smooth	169	平
Wang-2006-200-170	730	SNAKE	snake	170	蛇
Wang-2006-200-171	784	SNOW	snow	171	雪
Wang-2006-200-172	1440	SPIT	spit	172	吐
Wang-2006-200-173	1437	SPLIT	split	173	撕
Wang-2006-200-174	1414	SQUEEZE	squeeze	174	压
Wang-2006-200-175	1434	STAB	stab	175	刺
Wang-2006-200-176	1295	STICK	stick	176	棍子
Wang-2006-200-177	1404	STRAIGHT	straight	177	直
Wang-2006-200-178	1421	SUCK	suck	178	吮
Wang-2006-200-179	1573	SWELL	swell	179	肿
Wang-2006-200-180	1937	THERE	there	180	那里
Wang-2006-200-181	817	THEY	they	181	他们
Wang-2006-200-182	1244	THICK	thick	182	厚
Wang-2006-200-183	1400	THIN	thin	183	薄
Wang-2006-200-184	1415	THINK (REFLECT)	think	184	想（思索）
Wang-2006-200-185	492	THREE	three	185	三
Wang-2006-200-186	1456	THROW	throw	186	扔（投掷）
Wang-2006-200-187	1917	TIE	tie	187	捆
Wang-2006-200-188	1588	TURN	turn	188	转
Wang-2006-200-189	1278	VOMIT	vomit	189	呕吐
Wang-2006-200-190	1453	WASH	wash	190	洗
Wang-2006-200-191	1726	WET	wet	191	湿
Wang-2006-200-192	1237	WHERE	where	192	哪里
Wang-2006-200-193	1243	WIDE	wide	193	宽
Wang-2006-200-194	1199	WIFE	wife	194	妻子
Wang-2006-200-195	960	WIND	wind	195	风
Wang-2006-200-196	1257	WING	wing	196	翅膀
Wang-2006-200-197	1210	HEAVY	heavy	197	重
Wang-2006-200-198	420	FOREST	woods	198	森林
Wang-2006-200-199	1219	WORM	worm	199	虫
Wang-2006-200-200	1226	YEAR	year	200	年
