ID	NUMBER	ENGLISH	PORTUGUESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Chacon-2022-94-40	40	KNEE	joelho	1371	KNEE
Chacon-2022-94-41	41	KNOW (SOMETHING)	saber	1410	KNOW (SOMETHING)
Chacon-2022-94-42	42	LEAF	folha	628	LEAF
Chacon-2022-94-43	43	LIE DOWN	deitar	215	LIE DOWN
Chacon-2022-94-44	44	LIVER	fígado	1224	LIVER
Chacon-2022-94-45	45	LONG	comprido	1203	LONG
Chacon-2022-94-46	46	MAN	homem	1554	MAN
Chacon-2022-94-47	47	MANY	muitos	1198	MANY
Chacon-2022-94-48	48	MOON	lua	1313	MOON
Chacon-2022-94-49	49	MOUNTAIN	serra	639	MOUNTAIN
Chacon-2022-94-50	50	MOUTH	boca	674	MOUTH
Chacon-2022-94-51	51	NAME	nome	1405	NAME
Chacon-2022-94-52	52	NECK	pescoço	1333	NECK
Chacon-2022-94-53	53	NEW	novo	1231	NEW
Chacon-2022-94-54	54	NIGHT	noite	1233	NIGHT
Chacon-2022-94-55	55	NOSE	nariz	1221	NOSE
Chacon-2022-94-56	56	NOT	não	1240	NOT
Chacon-2022-94-57	57	ONE	um	1493	ONE
Chacon-2022-94-58	58	PATH	caminho	2252	PATH
Chacon-2022-94-59	59	PEOPLE OR PERSON	Pessoa Civilizado	2661	PEOPLE OR PERSON
Chacon-2022-94-60	60	RAIN (PRECIPITATION)	chuva	658	RAIN (PRECIPITATION)
Chacon-2022-94-61	61	RED	vermelho	156	RED
Chacon-2022-94-62	62	ROCK	pedra	668	ROCK
Chacon-2022-94-63	63	ROOT	raiz	670	ROOT
Chacon-2022-94-64	64	ROUND	redondo	1395	ROUND
Chacon-2022-94-65	65	SAND	areia	671	SAND
Chacon-2022-94-66	66	SAY	dizer	1458	SAY
Chacon-2022-94-67	67	SEE	ver	1409	SEE
Chacon-2022-94-68	68	SEED	semente	714	SEED
Chacon-2022-94-69	69	SIT	sentado	1416	SIT
Chacon-2022-94-70	70	SKIN	pele	763	SKIN
Chacon-2022-94-71	71	SLEEP	dormir	1585	SLEEP
Chacon-2022-94-72	72	SMALL	pequeno	1246	SMALL
Chacon-2022-94-73	73	SMOKE (EXHAUST)	fumaça	778	SMOKE (EXHAUST)
Chacon-2022-94-74	74	STAND	de pé	1442	STAND
Chacon-2022-94-75	75	STAR	estrela	1430	STAR
Chacon-2022-94-76	76	SUN	sol	1343	SUN
Chacon-2022-94-77	77	SWIM	nadar	1439	SWIM
Chacon-2022-94-78	78	TAIL	rabo	1220	TAIL
Chacon-2022-94-79	79	THAT	aquele	78	THAT
Chacon-2022-94-80	80	THIS	este	1214	THIS
Chacon-2022-94-81	81	THOU	tu	1215	THOU
Chacon-2022-94-82	82	TONGUE	língua	1205	TONGUE
Chacon-2022-94-83	83	TOOTH	dente	1380	TOOTH
Chacon-2022-94-84	84	TREE	árvore	906	TREE
Chacon-2022-94-85	85	TWO	dois	1498	TWO
Chacon-2022-94-86	86	WALK	andar	1443	WALK
Chacon-2022-94-87	87	WATER	água	948	WATER
Chacon-2022-94-88	88	WE	nós	1212	WE
Chacon-2022-94-89	89	WHAT	que cousa	1236	WHAT
Chacon-2022-94-90	90	WHITE	branco	1335	WHITE
Chacon-2022-94-91	91	WHO	quem	1235	WHO
Chacon-2022-94-92	92	WOMAN	mulher	962	WOMAN
Chacon-2022-94-93	93	YELLOW	amarelo	1424	YELLOW
Chacon-2022-94-94	94	YOU	vós	1213	YOU
