ID	NUMBER	ENGLISH	RUSSIAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Swadesh-1964-100-89	89	know	званть	1410	KNOW (SOMETHING)
Swadesh-1964-100-92	92	leaf	лист (дерева)	628	LEAF
Swadesh-1964-100-95	95	lie	лежать	1411	LIE (REST)
Swadesh-1964-100-97	97	liver	печень	1224	LIVER
Swadesh-1964-100-98	98	long	длинный	1203	LONG
Swadesh-1964-100-99	99	louse	вошь	1392	LOUSE
Swadesh-1964-100-100	100	man	мужчина	1554	MAN
Swadesh-1964-100-101	101	many	много	1198	MANY
Swadesh-1964-100-102	102	meat	мьсо	634	MEAT
Swadesh-1964-100-104	104	mountain	гора	639	MOUNTAIN
Swadesh-1964-100-105	105	mouth	рот	674	MOUTH
Swadesh-1964-100-106	106	name	имь	1405	NAME
Swadesh-1964-100-109	109	neck	шея	1333	NECK
Swadesh-1964-100-110	110	new	новы	1231	NEW
Swadesh-1964-100-111	111	night	ночь	1233	NIGHT
Swadesh-1964-100-113	113	nose	нос	1221	NOSE
Swadesh-1964-100-114	114	not	не	1240	NOT
Swadesh-1964-100-116	116	one	один	1493	ONE
Swadesh-1964-100-118	118	person	человек	683	PERSON
Swadesh-1964-100-122	122	rain	дождь	658	RAIN (PRECIPITATION)
Swadesh-1964-100-123	123	red	красный	156	RED
Swadesh-1964-100-127	127	road	дорога	667	ROAD
Swadesh-1964-100-128	128	root	корень	670	ROOT
Swadesh-1964-100-133	133	sand	песок	671	SAND
Swadesh-1964-100-136	136	see	видеть	1409	SEE
Swadesh-1964-100-137	137	seed	семя	714	SEED
Swadesh-1964-100-145	145	sit	сидеть	1416	SIT
Swadesh-1964-100-147	147	skin	кожа	763	SKIN
Swadesh-1964-100-149	149	sleep	спать	1585	SLEEP
Swadesh-1964-100-150	150	small	маленький	1246	SMALL
Swadesh-1964-100-152	152	smoke	дым	778	SMOKE (EXHAUST)
Swadesh-1964-100-163	163	stand	стоять	1442	STAND
Swadesh-1964-100-164	164	star	звесда	1430	STAR
Swadesh-1964-100-166	166	stone	камень	857	STONE
Swadesh-1964-100-169	169	sun	солнце	1343	SUN
Swadesh-1964-100-171	171	swim	плавать	1439	SWIM
Swadesh-1964-100-172	172	tail	хвост	1220	TAIL
Swadesh-1964-100-174	174	that	тот	78	THAT
Swadesh-1964-100-180	180	this	этот	1214	THIS
Swadesh-1964-100-181	181	thou	ты	1215	THOU
Swadesh-1964-100-185	185	tongue	язык	1205	TONGUE
Swadesh-1964-100-186	186	tooth	зуб	1380	TOOTH
Swadesh-1964-100-187	187	tree	дерево	906	TREE
Swadesh-1964-100-190	190	two	два	1498	TWO
Swadesh-1964-100-192	192	walk	идти	1443	WALK
Swadesh-1964-100-193	193	warm	теплый	1232	WARM
Swadesh-1964-100-195	195	water	вода	948	WATER
Swadesh-1964-100-196	196	we	мы	1212	WE
Swadesh-1964-100-198	198	what	что	1236	WHAT
Swadesh-1964-100-201	201	white	белый	1335	WHITE
Swadesh-1964-100-202	202	who	кто	1235	WHO
Swadesh-1964-100-209	209	woman	женщина	962	WOMAN
Swadesh-1964-100-215	215	yellow	желтый	1424	YELLOW
Swadesh-1964-100-216	216	*say	сказать	1458	SAY
Swadesh-1964-100-217	217	*moon	луна	1313	MOON
Swadesh-1964-100-218	218	*round	круглый	1395	ROUND
Swadesh-1964-100-219	219	*full	полный	1429	FULL
Swadesh-1964-100-220	220	*knee	колено	1371	KNEE
Swadesh-1964-100-221	221	*claw	коготь	72	CLAW
Swadesh-1964-100-222	222	*horn	рог	1393	HORN (ANATOMY)
Swadesh-1964-100-223	223	*breast	грудь	1402	BREAST	
