NUMBER	DSS_ID	URL	GLOSS	OCCURRENCES	OMEGAWIKI
48	201	http://semshifts.iling-ran.ru/show-meaning.html?id=201	bitter	14	375671
49	204	http://semshifts.iling-ran.ru/show-meaning.html?id=204	black	19	1341728
50	205	http://semshifts.iling-ran.ru/show-meaning.html?id=205	black cloud	6	NAN
51	211	http://semshifts.iling-ran.ru/show-meaning.html?id=211	blade	6	370359
52	213	http://semshifts.iling-ran.ru/show-meaning.html?id=213	blind	5	6807
53	214	http://semshifts.iling-ran.ru/show-meaning.html?id=214	blood	6	411
54	215	http://semshifts.iling-ran.ru/show-meaning.html?id=215	blood vessel	3	1580827
55	216	http://semshifts.iling-ran.ru/show-meaning.html?id=216	blue	6	357132
56	217	http://semshifts.iling-ran.ru/show-meaning.html?id=217	blunt	5	1511061
57	218	http://semshifts.iling-ran.ru/show-meaning.html?id=218	board, plank	3	5479
58	219	http://semshifts.iling-ran.ru/show-meaning.html?id=219	body	4	6179
59	220	http://semshifts.iling-ran.ru/show-meaning.html?id=220	body part	3	NAN
60	221	http://semshifts.iling-ran.ru/show-meaning.html?id=221	bold, insolent	9	1164655
61	222	http://semshifts.iling-ran.ru/show-meaning.html?id=222	bone	7	5983
62	226	http://semshifts.iling-ran.ru/show-meaning.html?id=226	boring	3	385276
63	228	http://semshifts.iling-ran.ru/show-meaning.html?id=228	bottom	4	334481
64	230	http://semshifts.iling-ran.ru/show-meaning.html?id=230	bow (weapon)	5	427040
65	233	http://semshifts.iling-ran.ru/show-meaning.html?id=233	bow-string	3	427040
65	233	http://semshifts.iling-ran.ru/show-meaning.html?id=233	bow-string	3	1510977
66	232	http://semshifts.iling-ran.ru/show-meaning.html?id=232	bowels, intestine	7	950344
67	234	http://semshifts.iling-ran.ru/show-meaning.html?id=234	box, container	3	6133
68	235	http://semshifts.iling-ran.ru/show-meaning.html?id=235	boy	4	5905
69	236	http://semshifts.iling-ran.ru/show-meaning.html?id=236	brain (cerebrum)	5	6504
70	238	http://semshifts.iling-ran.ru/show-meaning.html?id=238	branch (of a river)	6	353982
71	239	http://semshifts.iling-ran.ru/show-meaning.html?id=239	branch, twig	9	6343
72	241	http://semshifts.iling-ran.ru/show-meaning.html?id=241	brave	19	1016033
73	242	http://semshifts.iling-ran.ru/show-meaning.html?id=242	brave person	3	NAN
74	244	http://semshifts.iling-ran.ru/show-meaning.html?id=244	bread	4	5910
75	246	http://semshifts.iling-ran.ru/show-meaning.html?id=246	breathing	4	5998
76	247	http://semshifts.iling-ran.ru/show-meaning.html?id=247	bribe	3	517028
77	249	http://semshifts.iling-ran.ru/show-meaning.html?id=249	bride	4	5565
78	253	http://semshifts.iling-ran.ru/show-meaning.html?id=253	brilliant, glaring	7	NAN
79	262	http://semshifts.iling-ran.ru/show-meaning.html?id=262	bud (of a flower)	3	693943
80	263	http://semshifts.iling-ran.ru/show-meaning.html?id=263	bud (on a twig)	5	693943
81	264	http://semshifts.iling-ran.ru/show-meaning.html?id=264	bull	6	432142
82	265	http://semshifts.iling-ran.ru/show-meaning.html?id=265	bullet	5	483313
83	272	http://semshifts.iling-ran.ru/show-meaning.html?id=272	buttock	7	356264
84	274	http://semshifts.iling-ran.ru/show-meaning.html?id=274	by heart	3	1139186
85	275	http://semshifts.iling-ran.ru/show-meaning.html?id=275	calm	7	1505685
86	276	http://semshifts.iling-ran.ru/show-meaning.html?id=276	camel	3	8069
87	278	http://semshifts.iling-ran.ru/show-meaning.html?id=278	can, to be able	11	419859
88	281	http://semshifts.iling-ran.ru/show-meaning.html?id=281	cape	5	684108
89	288	http://semshifts.iling-ran.ru/show-meaning.html?id=288	cat	7	5446
90	292	http://semshifts.iling-ran.ru/show-meaning.html?id=292	cattle	3	511
91	298	http://semshifts.iling-ran.ru/show-meaning.html?id=298	cavity, hollow	3	6857
92	302	http://semshifts.iling-ran.ru/show-meaning.html?id=302	centre	7	155907
93	310	http://semshifts.iling-ran.ru/show-meaning.html?id=310	chapter (of a book)	3	356636
94	313	http://semshifts.iling-ran.ru/show-meaning.html?id=313	cheap	5	8184
95	314	http://semshifts.iling-ran.ru/show-meaning.html?id=314	cheek	11	7034
96	317	http://semshifts.iling-ran.ru/show-meaning.html?id=317	chest (body part)	10	6532
97	318	http://semshifts.iling-ran.ru/show-meaning.html?id=318	chief (n.)	10	1508307
98	320	http://semshifts.iling-ran.ru/show-meaning.html?id=320	child	8	568
98	320	http://semshifts.iling-ran.ru/show-meaning.html?id=320	child	8	7413
99	323	http://semshifts.iling-ran.ru/show-meaning.html?id=323	chin	3	6306
100	330	http://semshifts.iling-ran.ru/show-meaning.html?id=330	circle	7	6135
101	332	http://semshifts.iling-ran.ru/show-meaning.html?id=332	clavicle	4	953048
102	335	http://semshifts.iling-ran.ru/show-meaning.html?id=335	clean (adj.)	8	335501
103	336	http://semshifts.iling-ran.ru/show-meaning.html?id=336	clever	17	5722
104	340	http://semshifts.iling-ran.ru/show-meaning.html?id=340	closed	4	160351
105	342	http://semshifts.iling-ran.ru/show-meaning.html?id=342	cloud	6	623
106	344	http://semshifts.iling-ran.ru/show-meaning.html?id=344	clove (of a garlic)	3	958791
107	351	http://semshifts.iling-ran.ru/show-meaning.html?id=351	coast	4	633
108	352	http://semshifts.iling-ran.ru/show-meaning.html?id=352	cock (of a gun)	5	8133
109	355	http://semshifts.iling-ran.ru/show-meaning.html?id=355	coffin	3	968117
110	356	http://semshifts.iling-ran.ru/show-meaning.html?id=356	cold (adj.)	17	5639
111	359	http://semshifts.iling-ran.ru/show-meaning.html?id=359	colour	6	661
112	361	http://semshifts.iling-ran.ru/show-meaning.html?id=361	comb	4	6157
113	362	http://semshifts.iling-ran.ru/show-meaning.html?id=362	comb (of a bird)	5	1399210
114	375	http://semshifts.iling-ran.ru/show-meaning.html?id=375	contemptible	4	1001394
115	381	http://semshifts.iling-ran.ru/show-meaning.html?id=381	corner	7	1404011
116	382	http://semshifts.iling-ran.ru/show-meaning.html?id=382	cornflower (Centaurea)	3	900279
117	383	http://semshifts.iling-ran.ru/show-meaning.html?id=383	corpse	5	343500
118	384	http://semshifts.iling-ran.ru/show-meaning.html?id=384	correct (adj.)	5	7026
119	387	http://semshifts.iling-ran.ru/show-meaning.html?id=387	country, land	10	5671
119	387	http://semshifts.iling-ran.ru/show-meaning.html?id=387	country, land	10	2063
120	391	http://semshifts.iling-ran.ru/show-meaning.html?id=391	cover, lid	3	342543
121	392	http://semshifts.iling-ran.ru/show-meaning.html?id=392	coward	6	5779
122	405	http://semshifts.iling-ran.ru/show-meaning.html?id=405	crow	3	388727
123	408	http://semshifts.iling-ran.ru/show-meaning.html?id=408	cruel	3	156727
124	410	http://semshifts.iling-ran.ru/show-meaning.html?id=410	cucumber	3	156381
125	412	http://semshifts.iling-ran.ru/show-meaning.html?id=412	cunning person	5	NAN
126	415	http://semshifts.iling-ran.ru/show-meaning.html?id=415	currant-bush	3	941843
127	416	http://semshifts.iling-ran.ru/show-meaning.html?id=416	curved	7	699272
128	419	http://semshifts.iling-ran.ru/show-meaning.html?id=419	dandelion (Taraxacum)	4	740921
129	423	http://semshifts.iling-ran.ru/show-meaning.html?id=423	dark (adj.)	14	335607
130	429	http://semshifts.iling-ran.ru/show-meaning.html?id=429	day	7	5477
130	429	http://semshifts.iling-ran.ru/show-meaning.html?id=429	day	7	5533
131	433	http://semshifts.iling-ran.ru/show-meaning.html?id=433	deaf	4	428203
132	434	http://semshifts.iling-ran.ru/show-meaning.html?id=434	deception	3	1030671
133	435	http://semshifts.iling-ran.ru/show-meaning.html?id=435	deep	8	6535
134	436	http://semshifts.iling-ran.ru/show-meaning.html?id=436	defect	4	954604
135	438	http://semshifts.iling-ran.ru/show-meaning.html?id=438	dense, thick (liquid)	4	5503
136	447	http://semshifts.iling-ran.ru/show-meaning.html?id=447	dew	4	921645
137	449	http://semshifts.iling-ran.ru/show-meaning.html?id=449	difficult	12	159359
138	452	http://semshifts.iling-ran.ru/show-meaning.html?id=452	dirty	3	5483
139	453	http://semshifts.iling-ran.ru/show-meaning.html?id=453	disease	3	941
140	455	http://semshifts.iling-ran.ru/show-meaning.html?id=455	disorder, mess	3	470273
141	459	http://semshifts.iling-ran.ru/show-meaning.html?id=459	dog	10	966
142	460	http://semshifts.iling-ran.ru/show-meaning.html?id=460	dog-rose	3	1580939
143	461	http://semshifts.iling-ran.ru/show-meaning.html?id=461	doll	6	683096
144	463	http://semshifts.iling-ran.ru/show-meaning.html?id=463	donkey	3	8030
145	465	http://semshifts.iling-ran.ru/show-meaning.html?id=465	door	9	6430
146	476	http://semshifts.iling-ran.ru/show-meaning.html?id=476	drunk	8	6098
147	479	http://semshifts.iling-ran.ru/show-meaning.html?id=479	dry	16	5989
148	480	http://semshifts.iling-ran.ru/show-meaning.html?id=480	dumb	5	623922
149	483	http://semshifts.iling-ran.ru/show-meaning.html?id=483	dust	4	1009
150	485	http://semshifts.iling-ran.ru/show-meaning.html?id=485	ear	10	5510
151	486	http://semshifts.iling-ran.ru/show-meaning.html?id=486	ear, spike (of a grain plant)	3	5512
152	487	http://semshifts.iling-ran.ru/show-meaning.html?id=487	early	3	331892
153	489	http://semshifts.iling-ran.ru/show-meaning.html?id=489	earth	5	2063
154	492	http://semshifts.iling-ran.ru/show-meaning.html?id=492	east	7	8131
155	495	http://semshifts.iling-ran.ru/show-meaning.html?id=495	edge	10	366432
156	496	http://semshifts.iling-ran.ru/show-meaning.html?id=496	eel (Anguilla anguilla)	3	433736
157	497	http://semshifts.iling-ran.ru/show-meaning.html?id=497	egg	6	340828
158	498	http://semshifts.iling-ran.ru/show-meaning.html?id=498	elbow	5	422180
159	502	http://semshifts.iling-ran.ru/show-meaning.html?id=502	electricity	5	1109
160	508	http://semshifts.iling-ran.ru/show-meaning.html?id=508	empty	17	6659
161	509	http://semshifts.iling-ran.ru/show-meaning.html?id=509	end	6	340747
162	511	http://semshifts.iling-ran.ru/show-meaning.html?id=511	enemy	8	5882
163	518	http://semshifts.iling-ran.ru/show-meaning.html?id=518	equal	3	6437
164	530	http://semshifts.iling-ran.ru/show-meaning.html?id=530	evil spirit	5	915102
165	534	http://semshifts.iling-ran.ru/show-meaning.html?id=534	expensive	6	6036
166	537	http://semshifts.iling-ran.ru/show-meaning.html?id=537	eye	34	5511
167	540	http://semshifts.iling-ran.ru/show-meaning.html?id=540	eyebrow	3	523726
168	541	http://semshifts.iling-ran.ru/show-meaning.html?id=541	eyelash	4	637874
169	542	http://semshifts.iling-ran.ru/show-meaning.html?id=542	eyelid	3	1046808
170	543	http://semshifts.iling-ran.ru/show-meaning.html?id=543	face	21	6410
171	544	http://semshifts.iling-ran.ru/show-meaning.html?id=544	faeces	3	332125
172	549	http://semshifts.iling-ran.ru/show-meaning.html?id=549	fame	3	367378
173	554	http://semshifts.iling-ran.ru/show-meaning.html?id=554	far away	3	5997
174	557	http://semshifts.iling-ran.ru/show-meaning.html?id=557	fat (adj.)(of a person)	12	5619
175	558	http://semshifts.iling-ran.ru/show-meaning.html?id=558	fate	6	695947
176	562	http://semshifts.iling-ran.ru/show-meaning.html?id=562	fearful, dreadful	5	1580946
177	564	http://semshifts.iling-ran.ru/show-meaning.html?id=564	feather	7	5436
178	574	http://semshifts.iling-ran.ru/show-meaning.html?id=574	field	3	1425
179	575	http://semshifts.iling-ran.ru/show-meaning.html?id=575	fin	3	1425624
180	576	http://semshifts.iling-ran.ru/show-meaning.html?id=576	fine, powder-like	3	1444
181	578	http://semshifts.iling-ran.ru/show-meaning.html?id=578	finger-ring	4	5931
182	577	http://semshifts.iling-ran.ru/show-meaning.html?id=577	finger/toe	8	5675
182	577	http://semshifts.iling-ran.ru/show-meaning.html?id=577	finger/toe	8	5969
183	579	http://semshifts.iling-ran.ru/show-meaning.html?id=579	fire	7	1446
184	584	http://semshifts.iling-ran.ru/show-meaning.html?id=584	firm, solid	12	8173
185	590	http://semshifts.iling-ran.ru/show-meaning.html?id=590	flank (military)	3	1580954
186	591	http://semshifts.iling-ran.ru/show-meaning.html?id=591	flat (adj)	5	6680
187	594	http://semshifts.iling-ran.ru/show-meaning.html?id=594	flexible	3	698784
188	596	http://semshifts.iling-ran.ru/show-meaning.html?id=596	flower	8	1487
189	598	http://semshifts.iling-ran.ru/show-meaning.html?id=598	foam	3	7153
190	600	http://semshifts.iling-ran.ru/show-meaning.html?id=600	food	5	1505
191	601	http://semshifts.iling-ran.ru/show-meaning.html?id=601	fool	12	6049
192	604	http://semshifts.iling-ran.ru/show-meaning.html?id=604	foot/leg	16	5665
192	604	http://semshifts.iling-ran.ru/show-meaning.html?id=604	foot/leg	16	5672
193	605	http://semshifts.iling-ran.ru/show-meaning.html?id=605	footprint, track	6	1510480
194	607	http://semshifts.iling-ran.ru/show-meaning.html?id=607	forehead	11	1241509
195	610	http://semshifts.iling-ran.ru/show-meaning.html?id=610	forest	6	1533
196	617	http://semshifts.iling-ran.ru/show-meaning.html?id=617	freckle	4	1580959
197	619	http://semshifts.iling-ran.ru/show-meaning.html?id=619	free of charge	3	1262281
198	621	http://semshifts.iling-ran.ru/show-meaning.html?id=621	fresh	5	1496751
199	622	http://semshifts.iling-ran.ru/show-meaning.html?id=622	fresh (of water)	3	NAN
200	625	http://semshifts.iling-ran.ru/show-meaning.html?id=625	friend	9	5793
201	628	http://semshifts.iling-ran.ru/show-meaning.html?id=628	frog	6	1570
202	630	http://semshifts.iling-ran.ru/show-meaning.html?id=630	front part	9	NAN
203	641	http://semshifts.iling-ran.ru/show-meaning.html?id=641	garbage	4	387223
204	648	http://semshifts.iling-ran.ru/show-meaning.html?id=648	genitalia	8	1406712
205	649	http://semshifts.iling-ran.ru/show-meaning.html?id=649	genuine, true	3	6816
206	653	http://semshifts.iling-ran.ru/show-meaning.html?id=653	Gipsy, Gypsy	4	1581331
207	655	http://semshifts.iling-ran.ru/show-meaning.html?id=655	girl	11	6752
208	656	http://semshifts.iling-ran.ru/show-meaning.html?id=656	glad	3	6246
209	657	http://semshifts.iling-ran.ru/show-meaning.html?id=657	glass (material)	3	1656
210	659	http://semshifts.iling-ran.ru/show-meaning.html?id=659	gloomy	3	639520
211	660	http://semshifts.iling-ran.ru/show-meaning.html?id=660	glutton	5	1581337
212	663	http://semshifts.iling-ran.ru/show-meaning.html?id=663	goat	3	6257
213	664	http://semshifts.iling-ran.ru/show-meaning.html?id=664	god	3	871639
214	665	http://semshifts.iling-ran.ru/show-meaning.html?id=665	gold	3	5912
215	668	http://semshifts.iling-ran.ru/show-meaning.html?id=668	good	18	443659
216	672	http://semshifts.iling-ran.ru/show-meaning.html?id=672	grain, seed	4	1674
216	672	http://semshifts.iling-ran.ru/show-meaning.html?id=672	grain, seed	4	3361
217	676	http://semshifts.iling-ran.ru/show-meaning.html?id=676	grass	4	1675
218	679	http://semshifts.iling-ran.ru/show-meaning.html?id=679	greasy	4	413848
219	683	http://semshifts.iling-ran.ru/show-meaning.html?id=683	greedy	11	983313
220	684	http://semshifts.iling-ran.ru/show-meaning.html?id=684	green	11	6032
221	685	http://semshifts.iling-ran.ru/show-meaning.html?id=685	grey	5	1325782
222	689	http://semshifts.iling-ran.ru/show-meaning.html?id=689	guest	4	7254
223	693	http://semshifts.iling-ran.ru/show-meaning.html?id=693	gulf	3	1702
224	696	http://semshifts.iling-ran.ru/show-meaning.html?id=696	hail	5	1707
225	697	http://semshifts.iling-ran.ru/show-meaning.html?id=697	hair	7	446278
226	701	http://semshifts.iling-ran.ru/show-meaning.html?id=701	hand/arm	22	5616
226	701	http://semshifts.iling-ran.ru/show-meaning.html?id=701	hand/arm	22	6894
227	703	http://semshifts.iling-ran.ru/show-meaning.html?id=703	handle, gripe	3	5524
228	705	http://semshifts.iling-ran.ru/show-meaning.html?id=705	happiness, luck	4	336810
229	708	http://semshifts.iling-ran.ru/show-meaning.html?id=708	hard, solid	13	8173
230	709	http://semshifts.iling-ran.ru/show-meaning.html?id=709	hare (Lepus)	9	535092
231	710	http://semshifts.iling-ran.ru/show-meaning.html?id=710	harvest	4	1722
232	714	http://semshifts.iling-ran.ru/show-meaning.html?id=714	hawthorn	3	518485
233	716	http://semshifts.iling-ran.ru/show-meaning.html?id=716	head	26	5527
234	721	http://semshifts.iling-ran.ru/show-meaning.html?id=721	healthy	13	5901
235	724	http://semshifts.iling-ran.ru/show-meaning.html?id=724	heart	13	5475
236	725	http://semshifts.iling-ran.ru/show-meaning.html?id=725	heat	3	1746
237	728	http://semshifts.iling-ran.ru/show-meaning.html?id=728	heavy (of weight)	16	5451
238	729	http://semshifts.iling-ran.ru/show-meaning.html?id=729	hedgehog (Еrinaceus)	4	736222
239	730	http://semshifts.iling-ran.ru/show-meaning.html?id=730	heel (of a foot)	7	422122
240	733	http://semshifts.iling-ran.ru/show-meaning.html?id=733	hell	6	372550
241	744	http://semshifts.iling-ran.ru/show-meaning.html?id=744	high (location)	3	5562
242	745	http://semshifts.iling-ran.ru/show-meaning.html?id=745	high (size)	7	335942
243	747	http://semshifts.iling-ran.ru/show-meaning.html?id=747	hill	11	1772
244	752	http://semshifts.iling-ran.ru/show-meaning.html?id=752	honest	7	486712
245	758	http://semshifts.iling-ran.ru/show-meaning.html?id=758	hoof	4	1325252
246	761	http://semshifts.iling-ran.ru/show-meaning.html?id=761	horn	7	5981
247	764	http://semshifts.iling-ran.ru/show-meaning.html?id=764	horse (Equus caballus)	4	1780
248	767	http://semshifts.iling-ran.ru/show-meaning.html?id=767	horsetail	3	NAN
249	770	http://semshifts.iling-ran.ru/show-meaning.html?id=770	hot	16	5637
250	775	http://semshifts.iling-ran.ru/show-meaning.html?id=775	house	8	5517
251	777	http://semshifts.iling-ran.ru/show-meaning.html?id=777	human temper, character	3	439341
252	779	http://semshifts.iling-ran.ru/show-meaning.html?id=779	hump (of a person or camel)	4	1581343
253	784	http://semshifts.iling-ran.ru/show-meaning.html?id=784	husband	5	5432
254	786	http://semshifts.iling-ran.ru/show-meaning.html?id=786	hyena	3	736876
255	800	http://semshifts.iling-ran.ru/show-meaning.html?id=800	important	3	5634
256	803	http://semshifts.iling-ran.ru/show-meaning.html?id=803	in vain	5	714063
257	804	http://semshifts.iling-ran.ru/show-meaning.html?id=804	inclination to smth	4	392007
258	811	http://semshifts.iling-ran.ru/show-meaning.html?id=811	inflated	3	1581347
259	817	http://semshifts.iling-ran.ru/show-meaning.html?id=817	insect	3	1959
260	818	http://semshifts.iling-ran.ru/show-meaning.html?id=818	inside	3	6571
261	820	http://semshifts.iling-ran.ru/show-meaning.html?id=820	instrument, tool	3	5894
262	823	http://semshifts.iling-ran.ru/show-meaning.html?id=823	intact	3	1444665
263	829	http://semshifts.iling-ran.ru/show-meaning.html?id=829	iron	8	2024
264	834	http://semshifts.iling-ran.ru/show-meaning.html?id=834	Jack (playing card)	3	1103893
265	838	http://semshifts.iling-ran.ru/show-meaning.html?id=838	jaw	4	348120
266	842	http://semshifts.iling-ran.ru/show-meaning.html?id=842	joint, articulation	3	430011
267	849	http://semshifts.iling-ran.ru/show-meaning.html?id=849	keen (of senses)	3	1085146
268	850	http://semshifts.iling-ran.ru/show-meaning.html?id=850	key (of a door)	3	6149
269	852	http://semshifts.iling-ran.ru/show-meaning.html?id=852	kind (n.)	5	359363
270	853	http://semshifts.iling-ran.ru/show-meaning.html?id=853	kind, good-hearted	3	159058
271	856	http://semshifts.iling-ran.ru/show-meaning.html?id=856	knee	8	5918
272	858	http://semshifts.iling-ran.ru/show-meaning.html?id=858	knot	4	342406
273	862	http://semshifts.iling-ran.ru/show-meaning.html?id=862	land (vs. sea)	3	2063
274	871	http://semshifts.iling-ran.ru/show-meaning.html?id=871	lavish	3	1450635
275	874	http://semshifts.iling-ran.ru/show-meaning.html?id=874	lazy	5	6424
276	876	http://semshifts.iling-ran.ru/show-meaning.html?id=876	lead, plumbum	3	2119
277	877	http://semshifts.iling-ran.ru/show-meaning.html?id=877	leaf	11	2124
278	879	http://semshifts.iling-ran.ru/show-meaning.html?id=879	lean	7	5990
279	882	http://semshifts.iling-ran.ru/show-meaning.html?id=882	left	13	1499731
280	890	http://semshifts.iling-ran.ru/show-meaning.html?id=890	light (n.)	4	2158
281	891	http://semshifts.iling-ran.ru/show-meaning.html?id=891	light (of weight)	9	452743
282	892	http://semshifts.iling-ran.ru/show-meaning.html?id=892	light, bright	11	1502678
282	892	http://semshifts.iling-ran.ru/show-meaning.html?id=892	light, bright	11	333539
283	895	http://semshifts.iling-ran.ru/show-meaning.html?id=895	lightning	6	6811
284	899	http://semshifts.iling-ran.ru/show-meaning.html?id=899	lion (Panthera leo)	6	5961
285	900	http://semshifts.iling-ran.ru/show-meaning.html?id=900	lip	6	154710
286	902	http://semshifts.iling-ran.ru/show-meaning.html?id=902	liquid (adj.)	5	1108224
287	906	http://semshifts.iling-ran.ru/show-meaning.html?id=906	little, small	16	5509
288	907	http://semshifts.iling-ran.ru/show-meaning.html?id=907	liver	4	5476
289	910	http://semshifts.iling-ran.ru/show-meaning.html?id=910	location of emotions	5	NAN
290	914	http://semshifts.iling-ran.ru/show-meaning.html?id=914	loins	6	1398982
291	915	http://semshifts.iling-ran.ru/show-meaning.html?id=915	long (period of time)	3	1527216
292	916	http://semshifts.iling-ran.ru/show-meaning.html?id=916	long (size)	5	5438
293	918	http://semshifts.iling-ran.ru/show-meaning.html?id=918	long ago	6	1511039
294	921	http://semshifts.iling-ran.ru/show-meaning.html?id=921	look (n.)	3	434826
295	925	http://semshifts.iling-ran.ru/show-meaning.html?id=925	loud	8	1511054
296	928	http://semshifts.iling-ran.ru/show-meaning.html?id=928	lovely	5	159058
297	930	http://semshifts.iling-ran.ru/show-meaning.html?id=930	low (location)	12	336887
298	931	http://semshifts.iling-ran.ru/show-meaning.html?id=931	low (of voice)	3	1581352
299	932	http://semshifts.iling-ran.ru/show-meaning.html?id=932	low (size)	3	336887
300	933	http://semshifts.iling-ran.ru/show-meaning.html?id=933	lower part	9	NAN
301	935	http://semshifts.iling-ran.ru/show-meaning.html?id=935	lung	4	334158
302	937	http://semshifts.iling-ran.ru/show-meaning.html?id=937	mad	8	833779
303	939	http://semshifts.iling-ran.ru/show-meaning.html?id=939	main	3	467005
304	941	http://semshifts.iling-ran.ru/show-meaning.html?id=941	man	6	6397
305	943	http://semshifts.iling-ran.ru/show-meaning.html?id=943	mane	3	8446
306	946	http://semshifts.iling-ran.ru/show-meaning.html?id=946	manner, way	4	155620
307	967	http://semshifts.iling-ran.ru/show-meaning.html?id=967	meat	4	2300
308	970	http://semshifts.iling-ran.ru/show-meaning.html?id=970	meek	3	888805
309	974	http://semshifts.iling-ran.ru/show-meaning.html?id=974	memory	5	435393
310	975	http://semshifts.iling-ran.ru/show-meaning.html?id=975	menstruation	4	343457
311	980	http://semshifts.iling-ran.ru/show-meaning.html?id=980	merry, funny, cheerful	4	920639
312	985	http://semshifts.iling-ran.ru/show-meaning.html?id=985	middle	5	475332
313	987	http://semshifts.iling-ran.ru/show-meaning.html?id=987	milk	8	2358
314	993	http://semshifts.iling-ran.ru/show-meaning.html?id=993	mind (n.)	8	6418
315	997	http://semshifts.iling-ran.ru/show-meaning.html?id=997	mirror	3	520838
316	1000	http://semshifts.iling-ran.ru/show-meaning.html?id=1000	missing, failing	3	1337987
317	1003	http://semshifts.iling-ran.ru/show-meaning.html?id=1003	moist, humid	11	1301943
318	1006	http://semshifts.iling-ran.ru/show-meaning.html?id=1006	mole (Talpa)	3	8385
319	1012	http://semshifts.iling-ran.ru/show-meaning.html?id=1012	money	6	6408
320	1014	http://semshifts.iling-ran.ru/show-meaning.html?id=1014	monkey	3	5870
321	1018	http://semshifts.iling-ran.ru/show-meaning.html?id=1018	moon	7	5729
322	1019	http://semshifts.iling-ran.ru/show-meaning.html?id=1019	morning	6	5840
